iso3,population_2024
ABW,107624
AFE,769294618
AFG,42647492
AFW,521764076
AGO,37885849
ALB,2714617
AND,81938
ARB,492579811
ARE,10876981
ARG,45696159
ARM,3033500
ASM,46765
ATG,93772
AUS,27204809
AUT,9178482
AZE,10202850
BDI,14047786
BEL,11876844
BEN,14462724
BFA,23548781
BGD,173562364
BGR,6444366
BHR,1588670
BHS,401283
BIH,3164253
BLR,9133712
BLZ,417072
BMU,64636
BOL,12413315
BRA,211998573
BRB,282467
BRN,462721
BTN,791524
BWA,2521139
CAF,5330690
CAN,41288599
CEB,100050066
CHE,9034102
CHI,168126
CHL,19764771
CHN,1408975000
CIV,31934230
CMR,29123744
COD,109276265
COG,6332961
COL,52886363
COM,866628
CPV,524877
CRI,5129910
CSS,4539060
CUB,10979783
CUW,155900
CYM,74457
CYP,1358282
CZE,10882164
DEU,83510950
DJI,1168722
DMA,66205
DNK,5976992
DOM,11427557
DZA,46814308
EAP,2141122258
EAR,3552278604
EAS,2388378491
ECA,250485944
ECS,928465742
ECU,18135478
EGY,116538258
EMU,351125804
ERI,3535603
ESP,48807137
EST,1371986
ETH,132059767
EUU,450185396
FCS,1081767572
FIN,5637214
FJI,928784
FRA,68516699
FRO,54719
FSM,113160
GAB,2538952
GBR,69226000
GEO,3673850
GHA,34427414
GIB,39329
GIN,14754785
GMB,2759988
GNB,2201352
GNQ,1892516
GRC,10388805
GRD,117207
GRL,56836
GTM,18406359
GUM,167777
GUY,831087
HIC,1417871275
HKG,7524100
HND,10825703
HPC,941413026
HRV,3866300
HTI,11772557
HUN,9562314
IBD,4979720059
IBT,6926456321
IDA,1946736262
IDB,676957651
IDN,283487931
IDX,1269778611
IMN,84160
IND,1450935791
INX,
IRL,5380257
IRN,91567738
IRQ,46042015
ISL,404610
ISR,9974400
ITA,58986023
JAM,2839175
JOR,11552876
JPN,123975371
KAZ,20592571
KEN,56432944
KGZ,7224614
KHM,17638801
KIR,134518
KNA,46843
KOR,51751065
KWT,4973861
LAC,594158638
LAO,7769819
LBN,5805962
LBR,5612817
LBY,7381023
LCA,179744
LCN,662185950
LDC,1187777591
LIC,624608098
LIE,40197
LKA,21916000
LMC,3120983658
LMY,6563719861
LSO,2337423
LTE,2328890789
LTU,2888055
LUX,677717
LVA,1862441
MAC,687000
MAF,26129
MAR,38081173
MCO,38631
MDA,2389275
MDG,31964956
MDV,527799
MEA,813118814
MEX,130861007
MHL,37548
MIC,5939111763
MKD,1792179
MLI,24478595
MLT,574346
MMR,54500091
MNA,741690916
MNE,623831
MNG,3524788
MNP,44278
MOZ,34631766
MRT,5169395
MUS,1259509
MWI,21655286
MYS,35557673
NAC,381464223
NAM,3030131
NCL,292639
NER,27032412
NGA,232679478
NIC,6916140
NLD,17994237
NOR,5572272
NPL,29651054
NRU,11947
NZL,5338500
OED,1396914190
OMN,5281538
OSS,12969162
PAK,251269164
PAN,4515577
PER,34217848
PHL,115843670
PLW,17695
PNG,10576502
POL,36554707
PRE,1105951788
PRI,3203295
PRK,26498823
PRT,10701636
PRY,6929153
PSE,5289152
PSS,2722467
PST,1128430188
PYF,281807
QAT,2857822
ROU,19069340
RUS,143533851
RWA,14256567
SAS,1677384532
SAU,35300280
SDN,50448963
SEN,18501984
SGP,6036860
SLB,819198
SLE,8642022
SLV,6338193
SMR,33977
SOM,19009151
SRB,6587202
SSA,1158877573
SSD,11943408
SSF,1291058694
SST,20230689
STP,235536
SUR,634431
SVK,5422069
SVN,2126324
SWE,10569709
SWZ,1242822
SXM,43350
SYC,121354
SYR,24672760
TCA,46535
TCD,20299123
TEA,2114653077
TEC,459954508
TGO,9515236
THA,71668011
TJK,10590927
TKM,7494498
TLA,647003746
TLS,1400638
TMN,736401764
TON,104175
TSA,1677384532
TSS,1291058694
TTO,1368333
TUN,12277109
TUR,85518661
TUV,9646
TZA,68560157
UGA,50015092
UKR,37860221
UMC,2818128105
URY,3386588
USA,340110988
UZB,36361859
VCT,100616
VEN,28405543
VGB,39471
VIR,104377
VNM,100987686
VUT,327777
WLD,8142056446
WSM,218019
XKX,1527324
YEM,40583164
ZAF,64007187
ZMB,21314956
ZWE,16634373
